Codibge7;acidente;homicidio;suicidio;indeterminado;veiculos;h_legal
3520806;0;0;1;0;2;0
4319703;0;1;1;0;1;0
2406908;0;1;0;0;1;0
4310900;0;1;2;0;1;0
4106100;1;0;0;0;3;0
2505808;0;1;0;0;2;0
5205059;0;0;0;0;0;0
4123204;0;0;0;0;6;0
2209500;0;0;2;0;1;0
5106851;0;0;0;0;0;0
5202601;0;0;0;0;0;0
2704906;0;0;0;0;0;0
4315354;0;0;0;0;2;0
3109600;0;0;0;0;0;0
5204656;0;2;0;1;1;0
3127388;0;0;0;0;0;0
5221908;0;0;0;0;0;0
2207850;0;1;0;0;1;0
4120150;0;0;0;0;1;0
3528205;0;0;0;1;1;0
4301552;1;0;2;0;1;0
4116307;0;0;0;0;1;0
1718402;0;1;0;0;7;0
3111150;1;0;0;0;0;0
5219357;0;0;1;0;0;0
2411056;1;3;1;0;1;0
1703891;0;0;0;0;0;0
4300851;0;0;0;0;0;0
3503505;0;0;0;0;0;0
4308078;0;1;1;1;2;0
2807006;1;0;0;0;0;0
3545506;1;1;0;0;0;0
2210102;0;0;0;0;0;0
3504701;1;0;1;2;0;0
4302600;2;1;0;1;1;0
5203104;0;0;0;0;3;0
2511004;0;0;0;0;0;0
4205100;0;0;0;0;1;0
4300059;0;0;0;0;0;0
1712405;0;0;0;0;1;0
3119906;1;0;0;0;0;0
3171402;0;0;0;0;1;0
3144672;0;1;0;0;1;0
2918902;1;0;0;0;0;0
5207352;0;0;1;0;1;0
3502408;0;0;0;0;0;0
2806503;0;0;0;0;2;0
5106273;0;1;0;0;3;0
2512036;0;0;0;0;0;0
3125002;0;1;0;0;1;0
5107792;1;1;0;0;0;0
1703867;0;1;0;0;7;0
2207793;0;0;0;0;0;0
5220264;0;0;0;0;0;0
5108303;1;0;0;0;1;0
3141207;0;0;0;0;1;0
1715101;1;1;0;0;1;0
4204350;0;0;0;0;1;0
1703305;0;1;0;0;2;0
1718501;0;1;0;0;0;0
4311981;0;0;0;1;1;0
1715002;1;0;0;0;2;0
2204600;0;0;0;0;0;0
2201556;0;0;0;0;0;0
3144904;0;0;0;0;0;0
1600550;0;0;0;0;0;0
3106804;0;0;1;0;0;0
2209153;0;1;1;0;2;0
3168309;0;0;0;0;0;0
4103156;1;1;1;1;1;0
5103809;0;1;0;0;1;0
5201603;1;0;0;0;0;0
4120853;1;1;0;0;4;0
4123105;0;1;0;1;0;0
5201504;0;0;0;0;0;0
1707553;0;0;0;0;1;0
2202737;1;0;0;0;1;0
2801900;0;0;0;0;2;0
3122470;0;0;1;0;2;0
3500907;0;1;0;0;0;0
3535903;0;0;0;0;1;0
4115739;0;1;1;0;2;0
2414753;0;0;0;0;0;0
3159100;0;0;1;0;3;0
3154705;2;1;0;0;0;0
4125456;0;0;0;0;0;0
3163300;1;0;1;0;0;0
4116406;0;0;2;0;1;0
5218102;0;2;0;0;1;0
3141900;1;0;1;1;1;0
4320602;1;0;0;0;0;0
3121704;1;1;0;1;0;0
5214101;0;0;0;0;0;0
2201988;0;0;1;1;0;0
2201176;1;0;0;0;0;0
2512200;1;0;1;0;0;0
3127206;0;0;1;0;1;0
3529609;0;0;0;0;7;0
4313391;0;1;0;0;0;0
4314779;2;0;0;0;1;0
2408706;0;0;1;0;1;0
3158607;1;0;0;0;0;0
2205581;0;0;0;0;1;0
1718808;0;1;1;0;0;0
4312153;0;0;1;0;1;0
3542305;1;0;0;0;0;0
2411908;1;0;0;0;1;0
2910206;0;0;0;0;0;0
3512704;0;0;0;0;0;0
3148905;0;0;0;0;2;0
2202455;0;0;0;0;0;0
3522653;0;0;0;0;0;0
3534005;0;0;0;0;0;0
3107604;1;1;0;0;0;0
4304671;0;0;0;0;4;0
3500808;0;0;0;0;1;0
4109005;1;0;0;0;4;0
3501202;0;0;2;0;5;0
4122172;1;0;0;0;0;0
2504074;1;1;0;0;0;0
2918704;0;0;0;0;0;0
3520707;0;0;0;1;0;0
2411700;0;0;0;0;0;0
3153202;2;0;2;0;7;0
