"Microrregiao" "SEXO" "IDADE.CAT" "tot.pop"
29015 0 1 71846
29015 1 0 85223
29015 1 1 69111
29016 0 0 112138
29016 0 1 96749
29016 1 0 114741
29016 1 1 91337
29017 0 0 83537
29017 0 1 74180
29017 1 0 84213
29017 1 1 66480
29018 0 0 34166
29018 0 1 23748
29018 1 0 35114
29018 1 1 22496
29019 0 0 56973
29019 0 1 51227
29019 1 0 57550
29019 1 1 46320
29020 0 0 142889
29020 0 1 135713
29020 1 0 143583
29020 1 1 117673
29021 0 0 880317
29021 0 1 944764
29021 1 0 857369
29021 1 1 776121
29022 0 0 48609
29022 0 1 44526
29022 1 0 50898
29022 1 1 43365
29023 0 0 70257
29023 0 1 57480
29023 1 0 72449
29023 1 1 54006
29024 0 0 134272
29024 0 1 121937
29024 1 0 137335
29024 1 1 113803
29025 0 0 24680
29025 0 1 23869
29025 1 0 25687
29025 1 1 23590
29026 0 0 96328
29026 0 1 88430
29026 1 0 100089
29026 1 1 86532
29027 0 0 59051
29027 0 1 58948
29027 1 0 60700
29027 1 1 57271
29028 0 0 166913
29028 0 1 150289
29028 1 0 168698
29028 1 1 140907
29029 0 0 53291
29029 0 1 44989
29029 1 0 54947
29029 1 1 44641
29030 0 0 75766
29030 0 1 54186
29030 1 0 78766
29030 1 1 54467
29031 0 0 274186
29031 0 1 241009
29031 1 0 275820
29031 1 1 229627
29032 0 0 203540
29032 0 1 159441
29032 1 0 206847
29032 1 1 158085
31001 0 0 37749
31001 0 1 34983
31001 1 0 39734
31001 1 1 36334
31002 0 0 55796
31002 0 1 51154
31002 1 0 58289
31002 1 1 52379
31003 0 0 78472
31003 0 1 57113
31003 1 0 81687
31003 1 1 56820
31004 0 0 66196
31004 0 1 57702
31004 1 0 67693
31004 1 1 55896
31005 0 0 56182
31005 0 1 48779
31005 1 0 58217
31005 1 1 47593
31006 0 0 44353
31006 0 1 37623
31006 1 0 45726
31006 1 1 37201
31007 0 0 161264
31007 0 1 143647
31007 1 0 162869
31007 1 1 134087
31008 0 0 12055
31008 0 1 8584
31008 1 0 13287
31008 1 1 8743
31009 0 0 18014
31009 0 1 15935
31009 1 0 18896
31009 1 1 15779
31010 0 0 21552
31010 0 1 20741
31010 1 0 21991
31010 1 1 18423
31011 0 0 56027
31011 0 1 42298
31011 1 0 58414
31011 1 1 40768
31012 0 0 42298
31012 0 1 35813
31012 1 0 44019
31012 1 1 34288
31013 0 0 21469
31013 0 1 20207
31013 1 0 21916
31013 1 1 19531
31014 0 0 44663
31014 0 1 43228
31014 1 0 47748
31014 1 1 44019
31015 0 0 69540
31015 0 1 66738
31015 1 0 69973
31015 1 1 60400
31016 0 0 29670
31016 0 1 29684
31016 1 0 30657
31016 1 1 28751
31017 0 0 31028
31017 0 1 40639
31017 1 0 32731
31017 1 1 38950
31018 0 0 192619
31018 0 1 224039
31018 1 0 198064
31018 1 1 205523
31019 0 0 46147
31019 0 1 50930
31019 1 0 48809
31019 1 1 51814
31020 0 0 57455
31020 0 1 69772
31020 1 0 59667
31020 1 1 66347
31021 0 0 41278
31021 0 1 46336
31021 1 0 44243
31021 1 1 47655
31022 0 0 79115
31022 0 1 96015
31022 1 0 83332
31022 1 1 87562
31023 0 0 48053
31023 0 1 53044
31023 1 0 50579
31023 1 1 52736
31024 0 0 23041
31024 0 1 25371
31024 1 0 23605
31024 1 1 24822
31025 0 0 36644
31025 0 1 39674
31025 1 0 37203
31025 1 1 37180
31026 0 0 37939
31026 0 1 44855
31026 1 0 39767
31026 1 1 42611
31027 0 0 95349
31027 0 1 104515
31027 1 0 97936
31027 1 1 96075
31028 0 0 22124
31028 0 1 20296
31028 1 0 23011
31028 1 1 19174
31029 0 0 29435
31029 0 1 32823
31029 1 0 30591
31029 1 1 30530
31030 0 0 1159684
31030 0 1 1323916
31030 1 0 1156620
31030 1 1 1132342
31031 0 0 90681
31031 0 1 104518
31031 1 0 91462
31031 1 1 92576
31032 0 0 13196
31032 0 1 17020
31032 1 0 13824
31032 1 1 17371
31033 0 0 42949
31033 0 1 45721
31033 1 0 43976
31033 1 1 41151
31034 0 0 58696
31034 0 1 67067
31034 1 0 60643
31034 1 1 60845
31035 0 0 33516
31035 0 1 32948
31035 1 0 34304
31035 1 1 30195
31036 0 0 21534
31036 0 1 19164
31036 1 0 22400
31036 1 1 18422
31037 0 0 104272
31037 0 1 111141
31037 1 0 104429
31037 1 1 95854
